Symbol,Name,Label
ALXN,"Alexion Pharmaceuticals, Inc.","Alexion Pharmaceuticals, Inc. (ALXN)"
AMAG,"AMAG Pharmaceuticals, Inc.","AMAG Pharmaceuticals, Inc. (AMAG)"
AMAT,"Applied Materials, Inc.","Applied Materials, Inc. (AMAT)"
AMBA,"Ambarella, Inc.","Ambarella, Inc. (AMBA)"
AMBC,"Ambac Financial Group, Inc.","Ambac Financial Group, Inc. (AMBC)"
AMBR,"Amber Road, Inc.","Amber Road, Inc. (AMBR)"
AMC,"AMC Entertainment Holdings, Inc.","AMC Entertainment Holdings, Inc. (AMC)"
AMCC,,AMCC
AMCX,AMC Networks Inc.,AMC Networks Inc. (AMCX)
AMD,"Advanced Micro Devices, Inc.","Advanced Micro Devices, Inc. (AMD)"
AME,"AMTEK, Inc.","AMTEK, Inc. (AME)"
AMED,Amedisys Inc,Amedisys Inc (AMED)
AMG,"Affiliated Managers Group, Inc.","Affiliated Managers Group, Inc. (AMG)"
AMGN,Amgen Inc.,Amgen Inc. (AMGN)
AMKR,"Amkor Technology, Inc.","Amkor Technology, Inc. (AMKR)"
AMNB,"American National Bankshares, Inc.","American National Bankshares, Inc. (AMNB)"
AMP,"AMERIPRISE FINANCIAL SERVICES, INC.","AMERIPRISE FINANCIAL SERVICES, INC. (AMP)"
AMPE,"Ampio Pharmaceuticals, Inc.","Ampio Pharmaceuticals, Inc. (AMPE)"
AMRC,"Ameresco, Inc.","Ameresco, Inc. (AMRC)"
AMRE,,AMRE
AMRI,,AMRI
AMRS,"Amyris, Inc.","Amyris, Inc. (AMRS)"
AMSC,American Superconductor Corporation,American Superconductor Corporation (AMSC)
AMSF,"AMERISAFE, Inc.","AMERISAFE, Inc. (AMSF)"
AMSG,,AMSG
AMSWA,"American Software, Inc.","American Software, Inc. (AMSWA)"
AMT,American Tower Corporation (REIT),American Tower Corporation (REIT) (AMT)
AMTD,TD Ameritrade Holding Corporation,TD Ameritrade Holding Corporation (AMTD)
AMTG,,AMTG
AMWD,American Woodmark Corporation,American Woodmark Corporation (AMWD)
AMZG,,AMZG
AMZN,"Amazon.com, Inc.","Amazon.com, Inc. (AMZN)"
AN,"AutoNation, Inc.","AutoNation, Inc. (AN)"
ANAC,,ANAC
ANAD,,ANAD
ANAT,American National Insurance Company,American National Insurance Company (ANAT)
ANCX,Access National Corporation,Access National Corporation (ANCX)
ANDE,"The Andersons, Inc.","The Andersons, Inc. (ANDE)"
ANDV,,ANDV
ANF,Abercrombie & Fitch Company,Abercrombie & Fitch Company (ANF)
ANGI,ANGI Homeservices Inc.,ANGI Homeservices Inc. (ANGI)
ANGO,"AngioDynamics, Inc.","AngioDynamics, Inc. (ANGO)"
ANH,Anworth Mortgage Asset  Corporation,Anworth Mortgage Asset  Corporation (ANH)
ANIK,Anika Therapeutics Inc.,Anika Therapeutics Inc. (ANIK)
ANIP,"ANI Pharmaceuticals, Inc.","ANI Pharmaceuticals, Inc. (ANIP)"
ANN,,ANN
ANR,,ANR
ANSS,"ANSYS, Inc.","ANSYS, Inc. (ANSS)"
ANTM,"Anthem, Inc.","Anthem, Inc. (ANTM)"
ANV,,ANV
AOI,,AOI
AOL,,AOL
AON,Aon plc,Aon plc (AON)
AOS,Smith (A.O.) Corporation,Smith (A.O.) Corporation (AOS)
AOSL,Alpha and Omega Semiconductor Limited,Alpha and Omega Semiconductor Limited (AOSL)
AP,Ampco-Pittsburgh Corporation,Ampco-Pittsburgh Corporation (AP)
APA,Apache Corporation,Apache Corporation (APA)
APAGF,,APAGF
APAM,Artisan Partners Asset Management Inc.,Artisan Partners Asset Management Inc. (APAM)
APC,Anadarko Petroleum Corporation,Anadarko Petroleum Corporation (APC)
APD,"Air Products and Chemicals, Inc.","Air Products and Chemicals, Inc. (APD)"
APEI,"American Public Education, Inc.","American Public Education, Inc. (APEI)"
APH,Amphenol Corporation,Amphenol Corporation (APH)
APL,,APL
APOG,"Apogee Enterprises, Inc.","Apogee Enterprises, Inc. (APOG)"
APOL,,APOL
APP,,APP
APTV,Aptiv PLC,Aptiv PLC (APTV)
ARAY,Accuray Incorporated,Accuray Incorporated (ARAY)
ARC,"ARC Document Solutions, Inc.","ARC Document Solutions, Inc. (ARC)"
ARCB,ArcBest Corporation,ArcBest Corporation (ARCB)
ARCC,Ares Capital Corporation,Ares Capital Corporation (ARCC)
ARCW,"ARC Group Worldwide, Inc.","ARC Group Worldwide, Inc. (ARCW)"
ARE,"Alexandria Real Estate Equities, Inc.","Alexandria Real Estate Equities, Inc. (ARE)"
AREX,Approach Resources Inc.,Approach Resources Inc. (AREX)
ARG,,ARG
ARI,Apollo Commercial Real Estate Finance,Apollo Commercial Real Estate Finance (ARI)
ARIA,,ARIA
ARII,"American Railcar Industries, Inc.","American Railcar Industries, Inc. (ARII)"
ARNA,"Arena Pharmaceuticals, Inc.","Arena Pharmaceuticals, Inc. (ARNA)"
ARNC,Arconic Inc.,Arconic Inc. (ARNC)
ARO,,ARO
AROW,Arrow Financial Corporation,Arrow Financial Corporation (AROW)
ARPI,,ARPI
ARQL,"ArQule, Inc.","ArQule, Inc. (ARQL)"
ARR,"ARMOUR Residential REIT, Inc.","ARMOUR Residential REIT, Inc. (ARR)"
ARRS,ARRIS International plc,ARRIS International plc (ARRS)
ARRY,Array BioPharma Inc.,Array BioPharma Inc. (ARRY)
ARSD,,ARSD
ARTC,,ARTC
ARTNA,Artesian Resources Corporation,Artesian Resources Corporation (ARTNA)
ARUN,,ARUN
ARW,"Arrow Electronics, Inc.","Arrow Electronics, Inc. (ARW)"
ARWR,"Arrowhead Pharmaceuticals, Inc.","Arrowhead Pharmaceuticals, Inc. (ARWR)"
ARX,,ARX
ASBC,,ASBC
ASC,Ardmore Shipping Corporation,Ardmore Shipping Corporation (ASC)
ASCMA,"Ascent Capital Group, Inc.","Ascent Capital Group, Inc. (ASCMA)"
ASEI,,ASEI
ASGN,ASGN Incorporated,ASGN Incorporated (ASGN)
ASH,Ashland Global Holdings Inc.,Ashland Global Holdings Inc. (ASH)
ASNA,"Ascena Retail Group, Inc.","Ascena Retail Group, Inc. (ASNA)"
ASPS,Altisource Portfolio Solutions S.A.,Altisource Portfolio Solutions S.A. (ASPS)
ASPX,,ASPX
ASTE,"Astec Industries, Inc.","Astec Industries, Inc. (ASTE)"
AT,Atlantic Power Corporation,Atlantic Power Corporation (AT)
ATEC,"Alphatec Holdings, Inc.","Alphatec Holdings, Inc. (ATEC)"
ATEN,"A10 Networks, Inc.","A10 Networks, Inc. (ATEN)"
ATHN,"athenahealth, Inc.","athenahealth, Inc. (ATHN)"
ATI,Allegheny Technologies Incorporated,Allegheny Technologies Incorporated (ATI)
ATK,,ATK
ATLO,Ames National Corporation,Ames National Corporation (ATLO)
ATMI,,ATMI
ATML,,ATML
ATNI,"ATN International, Inc.","ATN International, Inc. (ATNI)"
ATNM,"Actinium Pharmaceuticals, Inc.","Actinium Pharmaceuticals, Inc. (ATNM)"
ATNY,,ATNY
ATO,Atmos Energy Corporation,Atmos Energy Corporation (ATO)
ATR,"AptarGroup, Inc.","AptarGroup, Inc. (ATR)"
ATRC,"AtriCure, Inc.","AtriCure, Inc. (ATRC)"
ATRI,Atrion Corporation,Atrion Corporation (ATRI)
ATRO,Astronics Corporation,Astronics Corporation (ATRO)
ATRS,"Antares Pharma, Inc.","Antares Pharma, Inc. (ATRS)"
ATSG,"Air Transport Services Group, Inc","Air Transport Services Group, Inc (ATSG)"
ATU,Actuant Corporation,Actuant Corporation (ATU)
ATVI,"Activision Blizzard, Inc","Activision Blizzard, Inc (ATVI)"
ATW,,ATW
AUXL,,AUXL
AVA,Avista Corporation,Avista Corporation (AVA)
AVAV,"AeroVironment, Inc.","AeroVironment, Inc. (AVAV)"
AVB,"AvalonBay Communities, Inc.","AvalonBay Communities, Inc. (AVB)"
AVD,American Vanguard Corporation,American Vanguard Corporation (AVD)
AVEO,"AVEO Pharmaceuticals, Inc.","AVEO Pharmaceuticals, Inc. (AVEO)"
AVG,,AVG
AVGO,Broadcom Inc.,Broadcom Inc. (AVGO)
AVHI,,AVHI
AVID,"Avid Technology, Inc.","Avid Technology, Inc. (AVID)"
AVIV,,AVIV
AVNR,,AVNR
AVNW,"Aviat Networks, Inc.","Aviat Networks, Inc. (AVNW)"
AVP,"Avon Products, Inc.","Avon Products, Inc. (AVP)"
AVT,"Avnet, Inc.","Avnet, Inc. (AVT)"
AVX,AVX Corporation,AVX Corporation (AVX)
AVY,Avery Dennison Corporation,Avery Dennison Corporation (AVY)
AWAY,,AWAY
AWH,,AWH
AWI,Armstrong World Industries Inc,Armstrong World Industries Inc (AWI)
AWK,American Water Works,American Water Works (AWK)
AWR,American States Water Company,American States Water Company (AWR)
AXAS,Abraxas Petroleum Corporation,Abraxas Petroleum Corporation (AXAS)
AXDX,"Accelerate Diagnostics, Inc.","Accelerate Diagnostics, Inc. (AXDX)"
AXE,Anixter International Inc.,Anixter International Inc. (AXE)
AXL,"American Axle & Manufacturing Holdings, Inc.","American Axle & Manufacturing Holdings, Inc. (AXL)"
AXLL,,AXLL
AXP,American Express Company,American Express Company (AXP)
AXS,Axis Capital Holdings Limited,Axis Capital Holdings Limited (AXS)
AYI,Acuity Brands Inc,Acuity Brands Inc (AYI)
AYR,Aircastle Limited,Aircastle Limited (AYR)
AZO,"AutoZone, Inc.","AutoZone, Inc. (AZO)"
AZPN,"Aspen Technology, Inc.","Aspen Technology, Inc. (AZPN)"
AZZ,AZZ Inc.,AZZ Inc. (AZZ)
B,"Barnes Group, Inc.","Barnes Group, Inc. (B)"
BA,Boeing Company (The),Boeing Company (The) (BA)
BABY,Natus Medical Incorporated,Natus Medical Incorporated (BABY)
BAC,Bank of America Corporation,Bank of America Corporation (BAC)
BAGL,,BAGL
BAGR,,BAGR
BAH,Booz Allen Hamilton Holding Corporation,Booz Allen Hamilton Holding Corporation (BAH)
BALT,,BALT
BANC,"Banc of California, Inc.","Banc of California, Inc. (BANC)"
BANF,BancFirst Corporation,BancFirst Corporation (BANF)
BANR,Banner Corporation,Banner Corporation (BANR)
BAS,"Basic Energy Services, Inc.","Basic Energy Services, Inc. (BAS)"
BAX,Baxter International Inc.,Baxter International Inc. (BAX)
BBBY,Bed Bath & Beyond Inc.,Bed Bath & Beyond Inc. (BBBY)
BBCN,,BBCN
BBG,,BBG
BBGI,"Beasley Broadcast Group, Inc.","Beasley Broadcast Group, Inc. (BBGI)"
BBNK,,BBNK
BBOX,Black Box Corporation,Black Box Corporation (BBOX)
BBRG,,BBRG
BBSI,"Barrett Business Services, Inc.","Barrett Business Services, Inc. (BBSI)"
BBT,BB&T Corporation,BB&T Corporation (BBT)
BBW,"Build-A-Bear Workshop, Inc.","Build-A-Bear Workshop, Inc. (BBW)"
BBX,BBX Capital Corporation,BBX Capital Corporation (BBX)
BBY,"Best Buy Co., Inc.","Best Buy Co., Inc. (BBY)"
BC,Brunswick Corporation,Brunswick Corporation (BC)
BCC,"Boise Cascade, L.L.C.","Boise Cascade, L.L.C. (BCC)"
BCEI,"Bonanza Creek Energy, Inc.","Bonanza Creek Energy, Inc. (BCEI)"
BCO,Brink’s Company (The),Brink’s Company (The) (BCO)
BCOR,"Blucora, Inc.","Blucora, Inc. (BCOR)"
BCOV,Brightcove Inc.,Brightcove Inc. (BCOV)
BCPC,Balchem Corporation,Balchem Corporation (BCPC)
BCR,,BCR
BCRX,"BioCryst Pharmaceuticals, Inc.","BioCryst Pharmaceuticals, Inc. (BCRX)"
BDBD,,BDBD
BDC,Belden Inc,Belden Inc (BDC)
BDE,,BDE
BDGE,"Bridge Bancorp, Inc.","Bridge Bancorp, Inc. (BDGE)"
BDN,Brandywine Realty Trust,Brandywine Realty Trust (BDN)
BDSI,"BioDelivery Sciences International, Inc.","BioDelivery Sciences International, Inc. (BDSI)"
BDX,"Becton, Dickinson and Company","Becton, Dickinson and Company (BDX)"
BEAM,,BEAM
BEAT,"BioTelemetry, Inc.","BioTelemetry, Inc. (BEAT)"
BEAV,,BEAV
BEBE,,BEBE
BECN,"Beacon Roofing Supply, Inc.","Beacon Roofing Supply, Inc. (BECN)"
BEE,,BEE
BELFB,Bel Fuse Inc.,Bel Fuse Inc. (BELFB)
BEN,"Franklin Resources, Inc.","Franklin Resources, Inc. (BEN)"
BERY,"Berry Global Group, Inc.","Berry Global Group, Inc. (BERY)"
BFAM,Bright Horizons Family Solutions Inc.,Bright Horizons Family Solutions Inc. (BFAM)
BFIN,BankFinancial Corporation,BankFinancial Corporation (BFIN)
BFS,"Saul Centers, Inc.","Saul Centers, Inc. (BFS)"
BF_B,,BF_B
BG,Bunge Limited,Bunge Limited (BG)
BGC,,BGC
BGCP,"BGC Partners, Inc.","BGC Partners, Inc. (BGCP)"
BGFV,Big 5 Sporting Goods Corporation,Big 5 Sporting Goods Corporation (BGFV)
BGG,Briggs & Stratton Corporation,Briggs & Stratton Corporation (BGG)
BGS,"B&G Foods, Inc.","B&G Foods, Inc. (BGS)"
BH,Biglari Holdings Inc.,Biglari Holdings Inc. (BH)
BHB,"Bar Harbor Bankshares, Inc.","Bar Harbor Bankshares, Inc. (BHB)"
BHE,"Benchmark Electronics, Inc.","Benchmark Electronics, Inc. (BHE)"
BHF,"Brighthouse Financial, Inc.","Brighthouse Financial, Inc. (BHF)"
BHGE,"Baker Hughes, a GE company","Baker Hughes, a GE company (BHGE)"
BHI,,BHI
BHLB,"Berkshire Hills Bancorp, Inc.","Berkshire Hills Bancorp, Inc. (BHLB)"
BID,,BID
BIDU,"Baidu, Inc.","Baidu, Inc. (BIDU)"
BIG,"Big Lots, Inc.","Big Lots, Inc. (BIG)"
BIIB,Biogen Inc.,Biogen Inc. (BIIB)
BIO,"Bio-Rad Laboratories, Inc.","Bio-Rad Laboratories, Inc. (BIO)"
BIOL,"Biolase, Inc.","Biolase, Inc. (BIOL)"
BIOS,"BioScrip, Inc.","BioScrip, Inc. (BIOS)"
BIRT,,BIRT
BJRI,"BJ's Restaurants, Inc.","BJ's Restaurants, Inc. (BJRI)"
BK,Bank Of New York Mellon Corporation (The),Bank Of New York Mellon Corporation (The) (BK)
BKCC,BlackRock Capital Investment Corporation,BlackRock Capital Investment Corporation (BKCC)
BKD,Brookdale Senior Living Inc.,Brookdale Senior Living Inc. (BKD)
BKE,"Buckle, Inc. (The)","Buckle, Inc. (The) (BKE)"
BKH,Black Hills Corporation,Black Hills Corporation (BKH)
BKMU,,BKMU
BKNG,Booking Holdings Inc.,Booking Holdings Inc. (BKNG)
BKS,"Barnes & Noble, Inc.","Barnes & Noble, Inc. (BKS)"
BKU,"BankUnited, Inc.","BankUnited, Inc. (BKU)"
BKW,,BKW
BKYF,,BKYF
BLDR,"Builders FirstSource, Inc.","Builders FirstSource, Inc. (BLDR)"
BLK,"BlackRock, Inc.","BlackRock, Inc. (BLK)"
BLKB,"Blackbaud, Inc.","Blackbaud, Inc. (BLKB)"
BLL,Ball Corporation,Ball Corporation (BLL)
BLMN,"Bloomin&#39; Brands, Inc.","Bloomin&#39; Brands, Inc. (BLMN)"
BLOX,,BLOX
BLT,,BLT
BLUE,"bluebird bio, Inc.","bluebird bio, Inc. (BLUE)"
BLX,"Banco Latinoamericano de Comercio Exterior, S.A.","Banco Latinoamericano de Comercio Exterior, S.A. (BLX)"
BMI,"Badger Meter, Inc.","Badger Meter, Inc. (BMI)"
BMR,,BMR
BMRC,Bank of Marin Bancorp,Bank of Marin Bancorp (BMRC)
BMRN,BioMarin Pharmaceutical Inc.,BioMarin Pharmaceutical Inc. (BMRN)
BMS,"Bemis Company, Inc.","Bemis Company, Inc. (BMS)"
BMTC,Bryn Mawr Bank Corporation,Bryn Mawr Bank Corporation (BMTC)
BMY,Bristol-Myers Squibb Company,Bristol-Myers Squibb Company (BMY)
BNCL,"Beneficial Bancorp, Inc.","Beneficial Bancorp, Inc. (BNCL)"
BNCN,,BNCN
BNFT,"Benefitfocus, Inc.","Benefitfocus, Inc. (BNFT)"
BNNY,,BNNY
BOBE,,BOBE
BODY,,BODY
BOFI,,BOFI
BOH,Bank of Hawaii Corporation,Bank of Hawaii Corporation (BOH)
BOKF,BOK Financial Corporation,BOK Financial Corporation (BOKF)
BOLT,,BOLT
BONT,,BONT
BOOM,DMC Global Inc.,DMC Global Inc. (BOOM)
BP,BP p.l.c.,BP p.l.c. (BP)
BPFH,"Boston Private Financial Holdings, Inc.","Boston Private Financial Holdings, Inc. (BPFH)"
BPI,"Bridgepoint Education, Inc.","Bridgepoint Education, Inc. (BPI)"
BPOP,"Popular, Inc.","Popular, Inc. (BPOP)"
BPTH,"Bio-Path Holdings, Inc.","Bio-Path Holdings, Inc. (BPTH)"
BPZ,,BPZ
BR,"Broadridge Financial Solutions, Inc.","Broadridge Financial Solutions, Inc. (BR)"
BRC,Brady Corporation,Brady Corporation (BRC)
BRCD,,BRCD
BRCM,,BRCM
BRDR,,BRDR
BREW,"Craft Brew Alliance, Inc.","Craft Brew Alliance, Inc. (BREW)"
BRKL,"Brookline Bancorp, Inc.","Brookline Bancorp, Inc. (BRKL)"
BRKR,Bruker Corporation,Bruker Corporation (BRKR)
BRKS,"Brooks Automation, Inc.","Brooks Automation, Inc. (BRKS)"
BRK_A,,BRK_A
BRK_B,,BRK_B
BRLI,,BRLI
BRO,"Brown & Brown, Inc.","Brown & Brown, Inc. (BRO)"
BRS,Bristow Group Inc,Bristow Group Inc (BRS)
BRSS,"Global Brass and Copper Holdings, Inc.","Global Brass and Copper Holdings, Inc. (BRSS)"
BRT,BRT Apartments Corp.,BRT Apartments Corp. (BRT)
BSET,"Bassett Furniture Industries, Incorporated","Bassett Furniture Industries, Incorporated (BSET)"
BSFT,,BSFT
BSRR,Sierra Bancorp,Sierra Bancorp (BSRR)
BSTC,BioSpecifics Technologies Corp,BioSpecifics Technologies Corp (BSTC)
BSX,Boston Scientific Corporation,Boston Scientific Corporation (BSX)
BTH,,BTH
BTU,Peabody Energy Corporation,Peabody Energy Corporation (BTU)
BTX,"BioTime, Inc.","BioTime, Inc. (BTX)"
BURL,"Burlington Stores, Inc.","Burlington Stores, Inc. (BURL)"
BUSE,First Busey Corporation,First Busey Corporation (BUSE)
BV,"BrightView Holdings, Inc.","BrightView Holdings, Inc. (BV)"
BWA,BorgWarner Inc.,BorgWarner Inc. (BWA)
BWC,,BWC
BWINB,,BWINB
BWLD,,BWLD
BWS,,BWS
BXC,BlueLinx Holdings Inc.,BlueLinx Holdings Inc. (BXC)
BXLT,,BXLT
BXP,"Boston Properties, Inc.","Boston Properties, Inc. (BXP)"
BXS,BancorpSouth Bank,BancorpSouth Bank (BXS)
BYD,Boyd Gaming Corporation,Boyd Gaming Corporation (BYD)
BYI,,BYI
BZH,"Beazer Homes USA, Inc.","Beazer Homes USA, Inc. (BZH)"
C,Citigroup Inc.,Citigroup Inc. (C)
CA,CA Inc.,CA Inc. (CA)
CAB,,CAB
CAC,Camden National Corporation,Camden National Corporation (CAC)
CACB,,CACB
CACC,Credit Acceptance Corporation,Credit Acceptance Corporation (CACC)
CACI,"CACI International, Inc.","CACI International, Inc. (CACI)"
CACQ,,CACQ
CAG,"ConAgra Brands, Inc.","ConAgra Brands, Inc. (CAG)"
CAH,"Cardinal Health, Inc.","Cardinal Health, Inc. (CAH)"
CAKE,The Cheesecake Factory Incorporated,The Cheesecake Factory Incorporated (CAKE)
